customer_id,segment,campaign,channel,variant,sent_date,opened,clicked,responded,converted,campaign_cost,revenue,age,tenure_months,monthly_balance
21,Salary,Wealth Advisory,Email,A,2024-11-24,0,0,0,0,0.3,0.0,41,11,5617
22,Retail,Credit Card Upgrade,Mobile App,B,2025-05-28,0,0,0,0,0.3,0.0,48,16,11750
23,Student,Personal Loan,SMS,B,2025-03-26,0,0,0,0,0.15,0.0,18,39,52764
24,Salary,Personal Loan,Mobile App,A,2024-11-26,0,0,0,0,0.27,0.0,29,55,35670
25,Retail,Savings Account,Email,B,2025-05-05,0,0,0,0,0.36,0.0,45,133,5000
26,Premier,Wealth Advisory,Mobile App,A,2024-08-28,0,0,0,0,0.29,0.0,60,4,32367
27,Retail,Credit Card Upgrade,Email,A,2024-09-22,0,0,0,0,0.27,0.0,61,20,5000
28,Mass Affluent,Savings Account,SMS,B,2024-08-08,0,0,0,0,0.28,0.0,47,240,77594
29,Premier,Savings Account,Email,B,2024-08-28,1,1,1,0,0.3,0.0,63,182,6869
30,Retail,Credit Card Upgrade,Email,B,2024-07-07,1,1,1,0,0.33,0.0,69,240,73674
31,Student,Wealth Advisory,SMS,B,2024-11-19,0,0,0,0,0.18,0.0,40,35,8803
32,Premier,Credit Card Upgrade,Email,B,2024-12-14,1,1,1,0,0.23,0.0,52,1,79939
33,Salary,Credit Card Upgrade,Call Center,A,2025-02-06,0,0,0,0,2.7,0.0,23,39,5000
34,Salary,Insurance Cross-Sell,Mobile App,A,2025-05-28,0,0,0,0,0.19,0.0,63,113,17699
35,Mass Affluent,Insurance Cross-Sell,Call Center,A,2024-06-05,1,0,0,0,2.69,0.0,54,40,36817
36,Retail,Wealth Advisory,Email,A,2025-04-27,1,1,0,0,0.23,0.0,51,56,10029
37,Retail,Personal Loan,Email,A,2025-03-30,0,0,0,0,0.36,0.0,41,61,29185
38,Mass Affluent,Credit Card Upgrade,SMS,B,2025-02-08,0,0,0,0,0.25,0.0,56,136,5000
39,Mass Affluent,Wealth Advisory,Email,A,2024-11-06,0,0,0,0,0.3,0.0,55,111,47020
40,Premier,Savings Account,SMS,A,2024-08-29,0,0,0,0,0.19,0.0,29,181,8959
41,Premier,Credit Card Upgrade,Mobile App,A,2024-10-11,0,0,0,0,0.3,0.0,44,95,5000
42,Premier,Savings Account,Mobile App,A,2025-02-08,1,1,1,0,0.29,0.0,47,16,16940
43,Salary,Credit Card Upgrade,Email,B,2024-12-13,1,0,0,0,0.28,0.0,37,73,16477
44,Salary,Insurance Cross-Sell,Mobile App,A,2024-11-09,0,0,0,0,0.27,0.0,59,25,22765
45,Retail,Personal Loan,SMS,B,2025-03-15,0,0,0,0,0.3,0.0,69,14,50818
46,Premier,Wealth Advisory,SMS,A,2025-04-12,0,0,0,0,0.18,0.0,58,9,17872
47,Retail,Personal Loan,Email,A,2024-06-13,0,0,0,0,0.2,0.0,29,19,90828
48,Retail,Savings Account,SMS,A,2025-02-18,0,0,0,0,0.19,0.0,42,48,20392
49,Retail,Savings Account,Mobile App,B,2024-09-16,0,0,0,0,0.28,0.0,34,12,7423
50,Retail,Credit Card Upgrade,Mobile App,A,2025-04-29,0,0,0,0,0.3,0.0,36,69,7149
51,Retail,Insurance Cross-Sell,Email,B,2025-02-07,1,0,0,0,0.24,0.0,35,65,538775
52,Premier,Wealth Advisory,Mobile App,B,2025-03-16,0,0,0,0,0.25,0.0,57,30,44724
53,Retail,Insurance Cross-Sell,Email,A,2024-08-08,0,0,0,0,0.27,0.0,28,74,6700
54,Salary,Insurance Cross-Sell,Mobile App,A,2024-10-06,0,0,0,0,0.18,0.0,32,25,45007
55,Student,Savings Account,SMS,A,2024-09-28,0,0,0,0,0.26,0.0,44,25,962480
56,Salary,Insurance Cross-Sell,Mobile App,B,2025-02-18,0,0,0,0,0.19,0.0,68,1,101184
57,Student,Credit Card Upgrade,SMS,B,2024-06-14,0,0,0,0,0.13,0.0,62,1,49623
58,Student,Credit Card Upgrade,Email,A,2024-09-29,0,0,0,0,0.23,0.0,49,111,5268
59,Retail,Credit Card Upgrade,SMS,B,2024-10-21,1,1,1,0,0.2,0.0,29,84,279335
60,Retail,Personal Loan,Email,B,2024-08-22,0,0,0,0,0.27,0.0,47,41,87529
61,Mass Affluent,Personal Loan,Email,A,2025-04-19,1,1,1,0,0.23,0.0,56,26,10762
62,Premier,Personal Loan,Email,A,2024-10-05,0,0,0,0,0.28,0.0,60,25,5000
63,Retail,Wealth Advisory,Mobile App,A,2025-05-08,0,0,0,0,0.29,0.0,61,57,5000
64,Retail,Personal Loan,Email,A,2024-08-20,0,0,0,0,0.3,0.0,62,48,5000
65,Salary,Personal Loan,Call Center,A,2024-11-18,1,0,0,0,2.61,0.0,54,1,5000
66,Retail,Savings Account,Email,B,2025-02-12,0,0,0,0,0.34,0.0,49,32,169869
67,Premier,Credit Card Upgrade,Call Center,B,2024-12-09,1,1,0,0,2.6,0.0,51,8,14475
68,Student,Wealth Advisory,Call Center,A,2024-07-15,1,0,0,0,2.61,0.0,63,43,15810
69,Mass Affluent,Credit Card Upgrade,Email,B,2025-04-20,1,0,0,0,0.36,0.0,51,6,158699
70,Retail,Insurance Cross-Sell,Call Center,A,2024-09-24,0,0,0,0,2.6,0.0,31,156,16124
71,Premier,Wealth Advisory,Call Center,B,2025-03-13,1,0,0,0,2.6,0.0,53,54,21898
72,Mass Affluent,Credit Card Upgrade,Email,B,2024-09-27,1,0,0,0,0.31,0.0,26,28,5000
73,Retail,Credit Card Upgrade,Call Center,B,2024-10-02,0,0,0,0,2.62,0.0,42,101,5042
74,Retail,Wealth Advisory,Email,B,2024-06-23,0,0,0,0,0.22,0.0,26,34,58689
75,Retail,Wealth Advisory,Email,A,2025-02-01,0,0,0,0,0.36,0.0,57,98,32689
76,Premier,Wealth Advisory,SMS,B,2024-10-20,0,0,0,0,0.21,0.0,48,9,50488
77,Retail,Wealth Advisory,Email,B,2024-08-09,1,0,0,0,0.24,0.0,54,116,6588
78,Student,Credit Card Upgrade,Email,A,2024-06-13,0,0,0,0,0.23,0.0,50,23,41061
79,Premier,Personal Loan,Call Center,B,2024-11-26,0,0,0,0,2.61,0.0,37,95,13439
80,Premier,Credit Card Upgrade,Call Center,B,2025-01-12,1,1,1,1,2.64,59.83,49,65,11954
81,Premier,Insurance Cross-Sell,Mobile App,B,2024-12-13,0,0,0,0,0.3,0.0,44,13,88539
82,Mass Affluent,Wealth Advisory,SMS,B,2025-03-07,0,0,0,0,0.23,0.0,45,30,22063
83,Premier,Personal Loan,Call Center,A,2024-06-12,0,0,0,0,2.7,0.0,47,9,67341
84,Retail,Credit Card Upgrade,Email,B,2024-07-16,0,0,0,0,0.35,0.0,40,82,5000
85,Retail,Personal Loan,Call Center,B,2024-06-12,1,0,0,0,2.58,0.0,38,113,7496
86,Salary,Personal Loan,Email,B,2024-11-23,0,0,0,0,0.29,0.0,34,9,18137
87,Student,Wealth Advisory,Call Center,A,2025-03-23,1,0,0,0,2.65,0.0,48,63,44226
88,Student,Wealth Advisory,Mobile App,B,2024-07-17,1,0,0,0,0.32,0.0,34,85,11933
89,Mass Affluent,Insurance Cross-Sell,Call Center,B,2025-02-03,0,0,0,0,2.63,0.0,49,26,115901
90,Premier,Savings Account,Call Center,A,2025-03-19,1,0,0,0,2.7,0.0,51,98,51736
91,Retail,Credit Card Upgrade,Call Center,A,2024-10-28,0,0,0,0,2.68,0.0,71,4,7907
92,Mass Affluent,Wealth Advisory,SMS,B,2024-11-25,1,0,0,0,0.26,0.0,52,65,63789
93,Premier,Wealth Advisory,Mobile App,B,2024-12-13,0,0,0,0,0.18,0.0,20,60,5000
94,Retail,Savings Account,Mobile App,B,2024-08-16,0,0,0,0,0.2,0.0,49,28,11527
95,Premier,Wealth Advisory,Email,A,2025-03-22,0,0,0,0,0.28,0.0,58,2,5000
96,Premier,Savings Account,SMS,A,2025-05-09,0,0,0,0,0.19,0.0,36,2,5000
97,Premier,Savings Account,Email,B,2024-12-20,1,1,0,0,0.29,0.0,54,16,5000
98,Mass Affluent,Savings Account,Call Center,A,2024-08-04,0,0,0,0,2.62,0.0,48,180,5000
99,Retail,Credit Card Upgrade,Email,A,2024-07-03,0,0,0,0,0.2,0.0,61,118,75090
100,Retail,Credit Card Upgrade,Call Center,A,2025-03-10,0,0,0,0,2.63,0.0,50,52,17149
101,Mass Affluent,Credit Card Upgrade,SMS,B,2025-04-22,1,1,1,0,0.26,0.0,42,6,5000
102,Retail,Wealth Advisory,Email,B,2024-07-04,1,1,1,0,0.28,0.0,44,20,9693
103,Student,Personal Loan,Call Center,B,2024-12-12,1,0,0,0,2.66,0.0,44,9,5000
104,Retail,Savings Account,Email,A,2025-04-23,0,0,0,0,0.22,0.0,41,109,53127
105,Salary,Insurance Cross-Sell,SMS,A,2024-11-08,1,1,0,0,0.2,0.0,26,113,16315
106,Mass Affluent,Personal Loan,Mobile App,A,2024-06-07,1,1,0,0,0.23,0.0,48,18,11778
107,Retail,Personal Loan,Email,B,2025-04-13,0,0,0,0,0.36,0.0,57,61,6869
108,Retail,Wealth Advisory,SMS,A,2024-10-09,0,0,0,0,0.18,0.0,53,5,13016
109,Mass Affluent,Personal Loan,Mobile App,B,2025-01-21,0,0,0,0,0.23,0.0,41,83,5000
110,Salary,Credit Card Upgrade,Call Center,B,2024-06-09,0,0,0,0,2.64,0.0,38,29,11089
111,Retail,Personal Loan,Email,A,2024-12-12,1,1,1,0,0.2,0.0,32,12,5000
112,Retail,Credit Card Upgrade,Email,A,2024-11-09,0,0,0,0,0.25,0.0,28,31,12593
113,Premier,Insurance Cross-Sell,SMS,B,2024-09-21,0,0,0,0,0.15,0.0,51,25,23600
114,Salary,Wealth Advisory,SMS,A,2025-01-19,0,0,0,0,0.29,0.0,45,55,23147
115,Retail,Wealth Advisory,SMS,B,2024-10-03,0,0,0,0,0.2,0.0,37,27,175536
116,Student,Insurance Cross-Sell,Email,A,2024-09-26,1,0,0,0,0.26,0.0,48,37,12561
117,Retail,Wealth Advisory,SMS,A,2024-11-14,0,0,0,0,0.3,0.0,51,49,18075
118,Premier,Credit Card Upgrade,Call Center,B,2024-09-19,0,0,0,0,2.6,0.0,67,111,31408
119,Student,Insurance Cross-Sell,Email,B,2024-12-24,0,0,0,0,0.31,0.0,21,76,5000
120,Retail,Savings Account,Email,B,2024-06-07,1,0,0,0,0.27,0.0,29,8,9071
121,Retail,Wealth Advisory,Mobile App,A,2024-09-16,0,0,0,0,0.3,0.0,75,24,145297
122,Salary,Insurance Cross-Sell,Email,A,2024-12-21,1,1,0,0,0.28,0.0,41,130,16236
123,Retail,Personal Loan,Mobile App,A,2025-03-31,0,0,0,0,0.22,0.0,45,67,5000
124,Student,Credit Card Upgrade,Email,B,2024-07-28,0,0,0,0,0.36,0.0,47,19,143285
125,Student,Personal Loan,Email,A,2025-02-28,0,0,0,0,0.23,0.0,31,4,204088
126,Premier,Savings Account,SMS,A,2024-11-11,1,0,0,0,0.13,0.0,32,154,520035
127,Retail,Wealth Advisory,Email,B,2024-06-05,0,0,0,0,0.31,0.0,31,68,19035
128,Premier,Insurance Cross-Sell,Mobile App,B,2025-04-02,0,0,0,0,0.2,0.0,19,125,5000
129,Student,Credit Card Upgrade,Call Center,A,2025-05-24,0,0,0,0,2.7,0.0,56,11,5000
130,Salary,Savings Account,SMS,B,2024-12-28,0,0,0,0,0.15,0.0,65,35,8763
131,Salary,Personal Loan,SMS,B,2024-09-20,1,0,0,0,0.13,0.0,32,240,238157
132,Student,Personal Loan,Email,A,2024-09-24,0,0,0,0,0.24,0.0,62,17,84405
133,Retail,Credit Card Upgrade,Mobile App,A,2024-09-11,0,0,0,0,0.18,0.0,49,124,10022
134,Retail,Personal Loan,SMS,B,2024-11-06,1,1,0,0,0.22,0.0,63,81,21049
135,Salary,Insurance Cross-Sell,Email,B,2025-05-24,1,0,0,0,0.34,0.0,48,11,5000
136,Student,Personal Loan,Email,B,2025-03-21,0,0,0,0,0.28,0.0,55,51,304126
137,Premier,Savings Account,Email,A,2024-09-02,1,0,0,0,0.33,0.0,49,53,138951
138,Mass Affluent,Wealth Advisory,Email,A,2025-05-30,0,0,0,0,0.3,0.0,33,24,181812
139,Salary,Personal Loan,Mobile App,A,2025-03-07,0,0,0,0,0.26,0.0,46,2,39936
140,Student,Insurance Cross-Sell,Call Center,B,2024-10-19,0,0,0,0,2.58,0.0,49,39,48807
141,Premier,Insurance Cross-Sell,Mobile App,A,2025-01-27,1,1,0,0,0.28,0.0,63,6,7223
142,Retail,Personal Loan,SMS,A,2025-04-05,0,0,0,0,0.2,0.0,49,33,198468
143,Mass Affluent,Savings Account,SMS,B,2025-02-22,0,0,0,0,0.12,0.0,28,87,61546
144,Premier,Personal Loan,Email,A,2024-07-01,0,0,0,0,0.22,0.0,36,100,57773
145,Salary,Personal Loan,SMS,B,2024-10-09,1,0,0,0,0.23,0.0,54,240,23235
146,Mass Affluent,Credit Card Upgrade,Email,B,2024-10-20,0,0,0,0,0.35,0.0,36,51,28502
147,Premier,Wealth Advisory,Email,A,2024-07-11,0,0,0,0,0.25,0.0,40,32,39610
148,Student,Savings Account,SMS,A,2024-08-11,0,0,0,0,0.13,0.0,43,34,14807
149,Retail,Credit Card Upgrade,Email,A,2025-03-22,0,0,0,0,0.27,0.0,18,51,27916
150,Student,Personal Loan,Email,A,2025-03-05,1,1,1,0,0.2,0.0,46,123,31575
151,Retail,Insurance Cross-Sell,Email,A,2024-09-12,1,1,0,0,0.22,0.0,61,79,5000
152,Student,Personal Loan,Email,A,2024-07-10,0,0,0,0,0.32,0.0,18,34,22424
153,Retail,Credit Card Upgrade,SMS,B,2024-08-01,0,0,0,0,0.13,0.0,39,123,22714
154,Premier,Savings Account,Email,A,2025-05-09,0,0,0,0,0.3,0.0,23,56,5000
155,Premier,Insurance Cross-Sell,Email,B,2024-07-01,1,0,0,0,0.3,0.0,44,16,11213
156,Premier,Personal Loan,Email,B,2024-07-27,0,0,0,0,0.29,0.0,44,28,18322
157,Salary,Wealth Advisory,Email,A,2024-10-22,0,0,0,0,0.25,0.0,46,9,5000
158,Salary,Wealth Advisory,Call Center,B,2024-07-29,1,0,0,0,2.61,0.0,50,53,78929
159,Student,Personal Loan,Email,A,2024-10-15,0,0,0,0,0.23,0.0,34,33,11913
160,Student,Wealth Advisory,Email,A,2025-01-21,0,0,0,0,0.3,0.0,22,28,82650
161,Mass Affluent,Personal Loan,Mobile App,B,2024-08-20,0,0,0,0,0.2,0.0,38,111,7724
162,Premier,Wealth Advisory,Email,A,2025-04-19,1,1,0,0,0.23,0.0,30,1,82722
163,Retail,Wealth Advisory,SMS,A,2025-04-10,1,0,0,0,0.21,0.0,42,14,13108
164,Retail,Savings Account,Email,A,2025-04-19,0,0,0,0,0.35,0.0,39,103,12397
165,Premier,Credit Card Upgrade,Call Center,A,2024-10-10,0,0,0,0,2.62,0.0,32,25,5000
166,Retail,Wealth Advisory,Call Center,A,2024-09-05,1,1,1,0,2.66,0.0,43,16,105688
167,Premier,Personal Loan,Mobile App,A,2025-02-20,0,0,0,0,0.33,0.0,57,77,43175
168,Retail,Credit Card Upgrade,Mobile App,B,2024-06-16,0,0,0,0,0.25,0.0,58,25,5000
169,Student,Credit Card Upgrade,SMS,A,2024-08-15,0,0,0,0,0.13,0.0,41,68,5000
170,Salary,Savings Account,Call Center,B,2024-08-19,1,0,0,0,2.64,0.0,53,113,16099
171,Retail,Wealth Advisory,SMS,B,2024-07-16,0,0,0,0,0.27,0.0,18,214,160062
172,Salary,Credit Card Upgrade,Email,A,2025-05-06,0,0,0,0,0.32,0.0,32,179,5000
173,Retail,Savings Account,Email,B,2025-01-10,0,0,0,0,0.36,0.0,18,31,13014
174,Student,Personal Loan,Email,B,2024-09-14,0,0,0,0,0.22,0.0,24,49,230281
175,Retail,Wealth Advisory,SMS,A,2025-02-14,1,0,0,0,0.19,0.0,47,14,201243
176,Retail,Credit Card Upgrade,Email,B,2024-07-12,0,0,0,0,0.23,0.0,35,6,6780
177,Premier,Wealth Advisory,Mobile App,A,2024-10-03,0,0,0,0,0.24,0.0,21,75,19157
178,Retail,Personal Loan,Email,B,2024-08-18,0,0,0,0,0.32,0.0,47,68,23760
179,Retail,Insurance Cross-Sell,Call Center,B,2025-02-18,1,1,1,0,2.57,0.0,34,32,27194
180,Student,Credit Card Upgrade,SMS,A,2025-02-13,0,0,0,0,0.18,0.0,59,119,8071
181,Retail,Personal Loan,SMS,B,2025-05-05,0,0,0,0,0.19,0.0,18,10,32342
182,Mass Affluent,Credit Card Upgrade,SMS,A,2024-10-19,0,0,0,0,0.28,0.0,51,71,13163
183,Salary,Insurance Cross-Sell,Call Center,A,2024-09-16,1,0,0,0,2.59,0.0,75,56,95026
184,Premier,Insurance Cross-Sell,Email,A,2024-07-31,1,0,0,0,0.33,0.0,75,34,5000
185,Student,Personal Loan,Email,A,2024-11-19,0,0,0,0,0.35,0.0,52,162,20899
186,Student,Wealth Advisory,Mobile App,B,2024-10-14,0,0,0,0,0.27,0.0,58,80,14077
187,Premier,Wealth Advisory,Mobile App,A,2025-05-09,1,0,0,0,0.33,0.0,38,104,13469
188,Student,Savings Account,SMS,A,2025-05-17,0,0,0,0,0.18,0.0,35,63,36451
189,Mass Affluent,Savings Account,Email,A,2025-05-22,1,0,0,0,0.31,0.0,40,82,16622
190,Salary,Personal Loan,Email,A,2024-12-28,0,0,0,0,0.21,0.0,30,157,60540
191,Mass Affluent,Credit Card Upgrade,Email,A,2024-11-16,1,0,0,0,0.26,0.0,18,50,34611
192,Salary,Insurance Cross-Sell,Call Center,B,2025-05-01,0,0,0,0,2.69,0.0,38,32,11754
193,Student,Insurance Cross-Sell,Email,B,2025-04-05,0,0,0,0,0.2,0.0,35,44,7869
194,Premier,Wealth Advisory,SMS,A,2024-08-08,1,1,0,0,0.28,0.0,26,34,5000
195,Premier,Personal Loan,Mobile App,B,2024-08-12,0,0,0,0,0.31,0.0,31,107,21212
196,Salary,Personal Loan,Email,A,2024-06-19,0,0,0,0,0.34,0.0,47,240,34533
197,Mass Affluent,Wealth Advisory,Email,B,2025-03-19,0,0,0,0,0.26,0.0,68,15,78417
198,Retail,Insurance Cross-Sell,Email,A,2024-08-27,0,0,0,0,0.37,0.0,45,18,12979
199,Salary,Insurance Cross-Sell,Mobile App,A,2024-10-09,1,1,1,0,0.32,0.0,41,235,191062
200,Salary,Wealth Advisory,Email,A,2024-08-24,0,0,0,0,0.23,0.0,41,36,10828
201,Retail,Wealth Advisory,Email,B,2024-10-31,0,0,0,0,0.23,0.0,45,11,77458
202,Student,Credit Card Upgrade,Email,A,2025-01-18,0,0,0,0,0.24,0.0,37,57,13569
203,Mass Affluent,Credit Card Upgrade,Email,A,2024-08-05,1,1,1,0,0.33,0.0,42,11,46832
204,Salary,Insurance Cross-Sell,Email,B,2025-05-16,0,0,0,0,0.26,0.0,29,63,6147
205,Retail,Wealth Advisory,Email,A,2024-09-09,0,0,0,0,0.2,0.0,44,80,70319
206,Mass Affluent,Credit Card Upgrade,Email,B,2025-04-06,0,0,0,0,0.25,0.0,55,55,7455
207,Retail,Credit Card Upgrade,Mobile App,A,2024-12-20,0,0,0,0,0.24,0.0,31,15,13141
208,Retail,Wealth Advisory,Email,A,2024-09-03,0,0,0,0,0.25,0.0,18,1,24917
209,Retail,Credit Card Upgrade,Mobile App,A,2024-06-21,0,0,0,0,0.22,0.0,42,16,51910
210,Premier,Credit Card Upgrade,SMS,B,2024-06-05,0,0,0,0,0.29,0.0,35,34,58352
211,Salary,Savings Account,Call Center,A,2025-04-09,0,0,0,0,2.7,0.0,41,4,9263
212,Retail,Wealth Advisory,Email,A,2025-01-26,0,0,0,0,0.29,0.0,31,114,23860
213,Premier,Wealth Advisory,Email,B,2024-06-30,1,0,0,0,0.25,0.0,44,9,5000
214,Retail,Personal Loan,Call Center,A,2024-08-29,1,0,0,0,2.64,0.0,29,53,38458
215,Retail,Wealth Advisory,Mobile App,B,2024-07-22,0,0,0,0,0.23,0.0,69,21,160274
216,Mass Affluent,Personal Loan,Email,A,2025-05-28,0,0,0,0,0.24,0.0,35,48,67688
217,Student,Personal Loan,Email,B,2024-10-21,0,0,0,0,0.33,0.0,18,11,13985
218,Student,Wealth Advisory,Call Center,B,2024-09-22,1,0,0,0,2.55,0.0,45,29,94961
219,Retail,Wealth Advisory,Email,B,2024-11-04,1,0,0,0,0.31,0.0,34,71,34064
220,Retail,Wealth Advisory,Call Center,B,2024-06-10,0,0,0,0,2.62,0.0,39,4,81797
221,Salary,Wealth Advisory,Call Center,A,2024-11-12,1,0,0,0,2.58,0.0,29,46,16324
222,Mass Affluent,Savings Account,Email,A,2025-05-19,1,1,0,0,0.35,0.0,49,68,147843
223,Retail,Credit Card Upgrade,Mobile App,B,2025-02-01,0,0,0,0,0.2,0.0,34,32,32799
224,Premier,Personal Loan,SMS,A,2025-03-25,1,1,1,0,0.29,0.0,55,58,93084
225,Premier,Personal Loan,Mobile App,A,2025-04-23,0,0,0,0,0.33,0.0,63,122,352064
226,Student,Personal Loan,SMS,B,2025-01-27,0,0,0,0,0.17,0.0,38,39,7763
227,Retail,Insurance Cross-Sell,Email,A,2024-10-09,0,0,0,0,0.27,0.0,18,5,49804
228,Student,Personal Loan,Mobile App,A,2024-07-06,0,0,0,0,0.18,0.0,47,68,68879
229,Retail,Insurance Cross-Sell,Email,A,2024-08-21,0,0,0,0,0.25,0.0,18,24,34890
230,Salary,Wealth Advisory,Call Center,B,2025-04-19,0,0,0,0,2.58,0.0,35,24,13178
231,Retail,Wealth Advisory,SMS,B,2024-12-03,0,0,0,0,0.23,0.0,54,240,117511
232,Retail,Savings Account,Email,B,2024-11-30,1,0,0,0,0.35,0.0,43,60,53727
233,Premier,Savings Account,Email,B,2025-03-12,1,0,0,0,0.2,0.0,23,12,22546
234,Retail,Savings Account,Call Center,A,2024-10-11,1,1,1,0,2.57,0.0,32,119,21744
235,Salary,Credit Card Upgrade,Email,B,2024-09-30,0,0,0,0,0.33,0.0,34,14,85812
236,Retail,Wealth Advisory,Call Center,B,2025-03-06,0,0,0,0,2.71,0.0,30,146,232445
237,Mass Affluent,Personal Loan,Email,B,2025-05-15,0,0,0,0,0.32,0.0,48,8,5000
238,Mass Affluent,Credit Card Upgrade,SMS,B,2025-05-05,0,0,0,0,0.2,0.0,43,27,34886
239,Salary,Wealth Advisory,Call Center,B,2025-04-13,0,0,0,0,2.66,0.0,23,48,18526
240,Mass Affluent,Credit Card Upgrade,Email,B,2025-02-16,1,0,0,0,0.19,0.0,18,5,35596
241,Salary,Insurance Cross-Sell,Email,B,2024-12-13,1,0,0,0,0.33,0.0,49,27,5437
242,Premier,Insurance Cross-Sell,Call Center,A,2024-07-28,1,0,0,0,2.6,0.0,40,22,261300
243,Student,Insurance Cross-Sell,SMS,B,2025-04-21,0,0,0,0,0.26,0.0,36,30,21414
244,Retail,Personal Loan,Mobile App,A,2025-02-13,0,0,0,0,0.19,0.0,31,25,5000
245,Student,Credit Card Upgrade,Mobile App,B,2025-03-29,0,0,0,0,0.18,0.0,41,41,55727
246,Retail,Insurance Cross-Sell,SMS,B,2025-04-30,1,0,0,0,0.19,0.0,39,63,72578
247,Salary,Savings Account,Mobile App,B,2024-12-09,0,0,0,0,0.18,0.0,28,1,53431
248,Salary,Insurance Cross-Sell,SMS,A,2024-10-19,0,0,0,0,0.25,0.0,30,8,8731
249,Retail,Insurance Cross-Sell,Mobile App,A,2025-03-26,0,0,0,0,0.21,0.0,32,37,33546
250,Student,Insurance Cross-Sell,Email,A,2025-01-20,0,0,0,0,0.35,0.0,26,236,6537
251,Student,Personal Loan,Call Center,B,2025-04-28,0,0,0,0,2.66,0.0,43,7,8192
252,Premier,Personal Loan,Mobile App,B,2024-09-19,0,0,0,0,0.24,0.0,44,38,111421
253,Retail,Insurance Cross-Sell,Email,A,2024-11-12,0,0,0,0,0.23,0.0,46,33,5000
254,Retail,Personal Loan,SMS,A,2024-10-16,0,0,0,0,0.16,0.0,23,1,17716
255,Student,Credit Card Upgrade,Email,A,2024-10-22,0,0,0,0,0.24,0.0,18,31,65202
256,Premier,Savings Account,Mobile App,B,2024-06-29,1,0,0,0,0.2,0.0,46,7,11227
257,Retail,Insurance Cross-Sell,Call Center,A,2025-02-16,0,0,0,0,2.69,0.0,55,7,46169
258,Premier,Wealth Advisory,Email,A,2024-09-10,0,0,0,0,0.26,0.0,18,82,106377
259,Salary,Savings Account,Call Center,A,2024-06-30,0,0,0,0,2.61,0.0,53,231,23833
260,Salary,Credit Card Upgrade,Email,B,2024-12-10,0,0,0,0,0.26,0.0,41,22,5863
261,Student,Wealth Advisory,SMS,A,2024-10-21,0,0,0,0,0.12,0.0,69,9,32770
262,Student,Insurance Cross-Sell,SMS,B,2024-10-01,0,0,0,0,0.18,0.0,47,135,45437
263,Salary,Credit Card Upgrade,Email,A,2025-04-19,1,1,1,0,0.22,0.0,18,47,5819
264,Retail,Savings Account,SMS,B,2024-10-20,0,0,0,0,0.19,0.0,59,55,92338
265,Retail,Insurance Cross-Sell,Mobile App,B,2024-10-18,0,0,0,0,0.3,0.0,32,160,80569
266,Premier,Wealth Advisory,Email,B,2024-10-08,0,0,0,0,0.22,0.0,46,33,13700
267,Premier,Wealth Advisory,Email,B,2025-01-22,1,0,0,0,0.3,0.0,43,93,31388
268,Retail,Wealth Advisory,SMS,B,2025-04-11,0,0,0,0,0.14,0.0,47,13,45598
269,Student,Personal Loan,Mobile App,B,2025-01-08,0,0,0,0,0.32,0.0,63,20,21740
